,Unnamed: 0,Name,Url,Intelligence,Strength,Speed,Durability,Power,Combat,Full name,Alter Egos,Aliases,Place of birth,First appearance,Creator,Alignment,Gender,Race,Height,Weight,Eye color,Hair color,Occupation,Base,Team Affiliation,Relatives,Skin color,Total Power
0,0,3-D Man,/3-d-man/10-226/,80.0,35.0,45.0,35.0,25.0,55.0,Charles Chandler,No alter egos found.,-,-,-,Marvel Comics,good,Male,-,6'2 // 188 cm,200 lb // 90 kg,Brown,Grey,"Test pilot, adventurer",-,"Agents of Atlas, Asgardians, Formerly: Avengers","Hal Chandler (brother), Peggy Clark (sister-in-law), Chuck (nephew), Hal Jr (nephew), unnamed parents",,275.0
1,1,A-Bomb,/a-bomb/10-10060/,75.0,100.0,20.0,80.0,25.0,65.0,Richard Milhouse Jones,No alter egos found.,Rick Jones,"Scarsdale, Arizona","Hulk Vol 2 #2 (April, 2008) (as A-Bomb)",Marvel Comics,good,Male,Human,6'8 // 203 cm,980 lb // 441 kg,Yellow,No Hair,"Musician, adventurer, author; formerly talk show host",-,"Teen Brigade (Leader), Ultimate Fantastic Four, Loners, Avengers, Thor Corps, Gods, Formerly: Fantastic Four, S.H.I.E.L.D.","Marlo Chandler-Jones (wife); Polly (aunt); Mrs. Chandler (mother-in-law); Keith Chandler, Ray Chandler, three unidentified others (brothers-in-law); unidentified father (deceased); Jackie Shorr (alleged mother; unconfirmed)",,365.0
2,2,Abe Sapien,/abe-sapien/10-956/,95.0,30.0,35.0,65.0,100.0,85.0,Abraham Sapien,No alter egos found.,"Langdon Everett Caul, Abraham Sapien, Langdon Caul",-,Hellboy: Seed of Destruction,Dark Horse Comics,good,Male,Icthyo Sapien,6'3 // 191 cm,145 lb // 65 kg,Blue,No Hair,Paranormal Investigator,-,Bureau for Paranormal Research and Defense,"Edith Howard (wife, deceased)",Blue,410.0
3,3,Abin Sur,/abin-sur/10-1460/,80.0,90.0,55.0,65.0,100.0,65.0,-,No alter egos found.,Lagzia,Ungara,"Showcase #22 (October, 1959)",DC Comics,good,Male,Ungaran,6'1 // 185 cm,200 lb // 90 kg,Blue,No Hair,"Green Lantern, former history professor",Oa,"Legion of Super-Heroes, Formerly: Green Lantern Corps","Amon Sur (son), Arin Sur (sister), Thaal Sinestro (brother-in-law), Soranik Natu (niece)",Red,455.0
4,4,Abomination,/abomination/10-1/,85.0,80.0,55.0,90.0,65.0,95.0,Emil Blonsky,Abomination (MCU),"Agent R-7, Ravager of Worlds","Zagreb, Yugoslavia",Tales to Astonish #90,Marvel Comics,bad,Male,Human / Radiation,6'8 // 203 cm,980 lb // 441 kg,Green,No Hair,Ex-Spy,Mobile,"Annihilators (Leader), Wrecking Crew, Masters of Evil, Superiour Six, New Enforcers, Secret Empire, Formerly: The Mighty Avengers","Nadia Dornova Blonsky (wife, separated)",,470.0
5,5,Abraxas,/abraxas/10-181/,100.0,100.0,85.0,100.0,100.0,55.0,Abraxas,No alter egos found.,-,Within Eternity,Fantastic Four Annual #2001,Marvel Comics,bad,Male,Cosmic Entity,- // 0 cm,- lb // 0 kg,Blue,Black,Dimensional destroyer,-,"Cosmic Beings, Thor Corps, Gods of Esgard, Asgardians","Eternity (""Father"")",,540.0
6,6,Absorbing Man,/absorbing-man/10-1448/,75.0,80.0,25.0,100.0,100.0,65.0,Carl Creel,No alter egos found.,"Greithoth, ""Crusher"" Creel, Rocky Davis, Dynamite Davis, Lightningbolt, Prisoner #24957","New York City, New York","Daredevil #1 (April, 1964) (As Rocky Davis)",Marvel Comics,bad,Male,Human,6'4 // 193 cm,270 lb // 122 kg,Blue,No Hair,Professional criminal; former professional boxer,-,"Marvel Knights, Masters of Evil, National Force, Secret Empire","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)",,445.0
7,7,Adam Monroe,/adam-monroe/10-1026/,85.0,10.0,15.0,100.0,100.0,65.0,-,No alter egos found.,"Takezo Kensei, Richard Sanders",-,Heroes S02E01 - Four Months Later...,NBC - Heroes,good,Male,-,- // 0 cm,- lb // 0 kg,Blue,Blond,"former samurai swordsman, former British mercenary commander, former soldier in the Confederate Army","U.S.; formerly Diedenshausen, Germany; Milan, Italy; Paris, France; Japan; England; Atlanta, GA; Montreal, Canada",No team connections added yet.,-,,375.0
8,8,Adam Strange,/adam-strange/10-626/,85.0,10.0,35.0,40.0,40.0,50.0,Adam Strange,No alter egos found.,"Warrior of Two Worlds, Savior of Rann","Chicago, Illinois","Outsiders #6 (April, 1986)",DC Comics,good,Male,Human,6'1 // 185 cm,195 lb // 88 kg,Blue,Blond,"Adventurer, archaelogist, ambassador","Rann, Alpha Centauri System",Omega Men,"Alanna Strange (wife); Aleea Strange (daughter); Sardath (father-in-law); Janey Strange (sister); Todd Strange (brother, deceased); Bantteir (mother-in-law); Adam Strange II (descendent)",,260.0
9,9,Agent 13,/agent-13/10-167/,80.0,40.0,45.0,50.0,45.0,85.0,Sharon Carter,"Agent 13 (MCU), Sharon Carter",-,-,Tales of Suspense #75,Marvel Comics,good,Female,-,5'8 // 173 cm,135 lb // 61 kg,Blue,Blond,Agent of SHIELD,"S.H.I.E.L.D. Headquarters, New York City","Marvel Knights, Fantastic Four, S.H.I.E.L.D., Formerly: Avengers","Harrison Carter (father), Amanda Carter (mother), Margaret ""Peggy"" Carter (sister)",,345.0
