movie,scene,line,character,text,slug,component
1,129,1158,narrator,"QUI-GON stands in a tall stately room. Twelve JEDI sit in a semi-circle. OBI-WAN stands behind QUI-GON in the center of the room. The Senior Jedi is MACE WINDU. To his left is an alien Jedi named KI-ADI-MUNDI, and to his right, the Jedi Master, YODA.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,action
1,129,1159,QUI-GON,...my only conclusion can be that it was a Sith Lord.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1160,MACE WINDU,A Sith Lord?!?,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1161,KI-ADI,Impossible! The Sith have been extinct for a millenium.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1162,YODA,"The very Republic is threatened, if involved the Sith are.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1163,MACE WINDU,I do not believe they could have returned without us knowing.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1164,YODA,"Hard to see, the dark side is. Discover who this assassin is, we must.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1165,KI-ADI,I sense he will reveal himself again.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1166,MACE WINDU,"This attack was with purpose, that is clear, and I agree the Queen is the target.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1167,YODA,"With this Naboo queen you must stay, Qui-Gon. Protect her.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1168,MACE WINDU,We will use all our resources here to unravel this mystery and discover the identity of your attacker... May the Force be with you.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1169,YODA,May the Force be with you.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1170,narrator,"OBI-WAN turns to leave, but QUI-GON continues to face the Council.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,action
1,129,1171,YODA,(Cont'd) Master Qui-Gon more to say have you?,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1172,QUI-GON,"With your permission, my Master. I have encountered a vergence in the Force.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1173,YODA,"A vergence, you say?",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1174,MACE WINDU,Located around a person?,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1175,QUI-GON,A boy... his cells have the highest concentration of midi-chlorians I have seen in a life form. It is possible he was conceived by the midi-chlorians.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1176,MACE WINDU,You're referring to the prophesy of the one who will bring balance to the Force...you believe it's this boy??,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1177,QUI-GON,I don't pressume...,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1178,YODA,But you do! Rrevealed your opinion is.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1179,QUI-GON,I request the boy be tested.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1180,narrator,The JEDI all look to one another. They nod and turn back to OBI-WAN and QUI-GON.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,action
1,129,1181,YODA,"Trained as a Jedi, you request for him?",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1182,QUI-GON,Finding him was the will of the Force...I have no doubt of that. There is too much happening here...,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1183,MACE WINDU,"Bring him before us, then.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,129,1184,YODA,Tested he will be.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - DAY,character
1,134,1258,narrator,"ANAKIN stands before the TWELVE JEDI. MACE WINDU holds a small hand-held viewing screen. In rapid succession, images flash across the screen.",INT. PALACE OF THE JEDI - COUNCIL CHAMBERS - SUNSET,action
1,134,1259,ANAKIN,A ship...a cup...a speeder.,INT. PALACE OF THE JEDI - COUNCIL CHAMBERS - SUNSET,character
1,134,1260,narrator,MACE WINDU turns the viewing screen off and nods toward YODA.,INT. PALACE OF THE JEDI - COUNCIL CHAMBERS - SUNSET,action
1,134,1261,YODA,"Good, good, young one. How feel you?",INT. PALACE OF THE JEDI - COUNCIL CHAMBERS - SUNSET,character
